Operadora (Operator);Satélite (Satellite);Posição Orbital (Orbital slot);Código do Direito (Code);Tipo de Direito (Type of landing right);Tipo (Type);Data (Date);Documento (Document);Publicação D.O.U (Official Gazette);SEI - Processos (Proceedings)
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;3ºO;-3KuC;Estrangeiro;Termo;06/05/2021;TERMO DE AUTORIZAÇÃO Nº 5/2021;10/06/2021;53500.002155/2015-09
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;3ºO;-3KuC;Estrangeiro;Ato;29/01/2021;Ato Nº 617/2021;01/02/2021;53500.002155/2015-09
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;3ºO;-3KuC;Estrangeiro;Ato;17/08/2020;Ato Nº 4.388/2020;18/08/2020;53500.002155/2015-09
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;3ºO;-3KuC;Estrangeiro;Ato;11/06/2019;Ato Nº 3.650/2019;03/07/2019;53500.002155/2015-09
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;3ºO;-3KuC;Estrangeiro;Ato;11/06/2019;Retificação Ato Nº 3.650/2019;22/07/2019;53500.002155/2015-09
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;3ºO;-3KuC;Estrangeiro;Termo;14/10/2016;Termo de Autorização Nº 192/2016;19/10/2016;53500.002155/2015-09
ABS SINGAPORE SATELLITE PTE. LTD.;ABS-3A;3ºO;-3KuC;Estrangeiro;Ato;11/12/2015;Ato Nº 6.683/2015;24/12/2015;53500.002155/2015-09
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;06/09/2017;Ato Nº 12.019/2017;14/09/2017;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;14/08/2017;Ato Nº 11.259/2017;01/09/2017;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;14/03/2016;Ato Nº 50.728/2016;15/03/2016;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;05/06/2013;Ato Nº 3.402/2013;13/06/2013;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 177/2013;02/04/2013;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 176/2013;02/04/2013;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 175/2013;02/04/2013;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 178/2013;02/04/2013;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 174/2013;02/04/2013;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Termo;28/03/2013;Termo PVSS/SPV Nº 173/2013;02/04/2013;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;04/10/2012;Ato Nº 5.719/2012;11/10/2012;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;31/07/2012;Ato Nº 4.333/2012;08/08/2012;53500.004955/2009-16
COMSAT, INC;INMARSAT-4 F3;98ºO;-98L;Estrangeiro;Ato;26/08/2010;Ato Nº 5.488/2010;16/09/2010;53500.004955/2009-16
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;15/06/2022;Ato Nº 8392/2022;20/06/2022;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;20/11/2019;Ato n° 7289/2019;28/11/2019;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;15/03/2019;Ato n° 1811/2019;25/03/2019;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;15/03/2019;Ato n° 1812/2019;25/03/2019;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;24/04/2018;Ato n° 3113/2018;03/05/2018;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;24/04/2018;Ato N° 3112/2018;03/05/2018;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;23/02/2018;Ato N° 1210/2018;13/03/2018;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;22/02/2018;Ato N° 1202/2018;13/03/2018;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Termo;02/10/2017;Termo de Autorização Nº 118/2017;04/10/2017;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;11/08/2017;Ato N° 11189/2017;28/08/2017;53500.019972/2016-79
DIRECTV LATIN AMERICA LLC;SKY-B1;43,1ºO;-43,1KuKu30B;Estrangeiro;Ato;29/06/2017;Ato Nº 9.995/2017;04/07/2017;53500.019972/2016-79
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;EUTELSAT 65 West A;65ºO;-65Ku;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Termo aditivo;04/08/2020;Aditamento ao Termo PVSS/SPV Nº 001/1998-ANATEL;05/08/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Termo aditivo;04/08/2020;2º Aditamento ao Termo PVSS/SPV Nº 007/2006-ANATEL;05/08/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;68ºO;-68C;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;68ºO;-68C;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Termo aditivo;03/04/2017;2º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;05/04/2017;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Termo;06/04/2006;Termo PVSS/SPV Nº 007/2006-ANATEL;19/04/2006;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Ato;20/12/2005;Ato N° 54.924/2005;23/12/2005;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Ato;30/10/2000;Ato N° 12.517/2000;31/10/2000;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;ND;63ºO;-63C;Brasileiro;Termo;27/07/1998;Termo PVSS/SPV N°001/1998-ANATEL;-;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo aditivo;04/08/2020;Aditamento ao Termo PVSS/SPV Nº 001/1998-ANATEL;05/08/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo aditivo;04/08/2020;3º Aditamento ao Termo PVSS/SPV Nº 012/2007-ANATEL;06/08/2020;53500.063511/2017-14
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo aditivo;04/08/2020;2º Aditamento ao Termo PVSS/SPV Nº 007/2006-ANATEL;05/08/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Ato;08/06/2020;Ato Nº 3.062/2020;10/06/2020;53500.063511/2017-14
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Ato;08/05/2020;Ato Nº 2.530/2020;02/09/2020;53500.016975/2019-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo aditivo;22/08/2018;2º Aditamento ao Termo PVSS/SPV Nº 012/2007-ANATEL;27/08/2018;53500.063511/2017-14
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo aditivo;03/04/2017;2º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;05/04/2017;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo aditivo;29/08/2014;Aditamento ao Termo PVSS/SPV Nº 012/2007-ANATEL;06/10/2014;53500.006338/2013
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Ato;24/06/2014;Ato Nº 6.117/2014;03/07/2014;53500.006338/2013
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo;09/11/2007;Termo PVSS/SPV Nº 012/2007-ANATEL;13/11/2007;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Ato;31/10/2007;Ato Nº 68.279/2007;05/11/2007;53500.006338/2013
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo;06/04/2006;Termo PVSS/SPV Nº 007/2006-ANATEL;19/04/2006;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Ato;20/12/2005;Ato N° 54.924/2005;23/12/2005;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Ato;30/10/2000;Ato N° 12.517/2000;31/10/2000;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C1;92ºO;-92CKu;Brasileiro;Termo;27/07/1998;Termo PVSS/SPV N°001/1998-ANATEL;-;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C2;65ºO;-65CX;Brasileiro;;;;;
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C2;65ºO;-65Ku;Brasileiro;;;;;
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Ato;15/02/2022;Ato Nº 2565/2022;17/02/2022;53500.014947/2019-41
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Ato;15/02/2022;Ato Nº 2566/2022;03/03/2022;53500.014947/2019-41
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Ato;08/05/2020;Ato Nº 2.530/2020;02/09/2020;53500.016975/2019-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Termo aditivo;22/08/2013;4º Aditamento ao Termo PVSS/SPV Nº 001/2007 – ANATEL;09/01/2015;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Ato;07/06/2013;Ato N° 3.442/2013;21/06/2013;53500.010933/2010
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Termo aditivo;10/04/2012;3º Aditamento ao Termo PVSS/SPV Nº 001/2007 – ANATEL;13/04/2012;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Termo aditivo;14/04/2011;2º Aditamento ao Termo PVSS/SPV Nº 001/2007 – ANATEL;27/04/2011;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Despacho;29/10/2010;Despacho nº 10.119/2010-CD;04/11/2010;53500.006200/2015-96
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Termo aditivo;16/05/2007;Aditamento ao Termo PVSS/SPV No 001/2007 – ANATEL;25/05/2007;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Ato;13/04/2007;Ato N° 64.571/2007;24/04/2007;53500.005254/1999
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Termo;09/02/2007;Termo PVSS/SPV Nº 001/2007-ANATEL;27/02/2007;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C3;75ºO;-75CKu;Brasileiro;Ato;30/01/2007;Ato Nº 63.338/2007;31/01/2007;53500.023874/2005
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Termo aditivo;21/01/2021;4º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;28/01/2021;53500.022042/2016-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Ato;08/05/2020;Ato Nº 2.530/2020;02/09/2020;53500.016975/2019-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Termo aditivo;27/04/2020;3º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;28/04/2020;53500.022042/2016-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Termo aditivo;27/04/2020;3º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;28/04/2020;53500.022042/2016-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Termo aditivo;01/10/2019;Aditamento ao Termo PVSS/SPV Nº 002/2003-ANATEL;03/10/2019;53500.032525/2018-77
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Ato;06/06/2019;Ato Nº 3.579/2019;10/06/2019;53500.032525/2018-77
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Termo aditivo;03/04/2017;2º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;05/04/2017;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Termo aditivo;22/06/2012;Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290106201
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Termo aditivo;22/06/2012;Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290106201
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Termo;22/03/2012;Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290051789
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Termo;22/03/2012;Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290051789
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku3030AKa;Brasileiro;Ato;24/02/2012;Ato Nº 1.073/2012;01/03/2012;53500.015405/2015-62
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Termo;08/10/2003;Termo PVSS/SPV Nº 002/2003-ANATEL;13/11/2003;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Ato;16/09/2003;Ato Nº 39.094/2003;24/09/2003;53500.005294/2001-81
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE C4;70ºO;-70Ku;Brasileiro;Termo;27/07/1998;Termo PVSS/SPV N°001/1998-ANATEL;-;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Termo aditivo;04/08/2020;2º Aditamento ao Termo PVSS/SPV Nº 007/2006-ANATEL;05/08/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Termo aditivo;04/08/2020;Aditamento ao Termo PVSS/SPV Nº 001/1998-ANATEL;05/08/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84KuKa;Brasileiro;Ato;08/05/2020;Ato Nº 2.530/2020;02/09/2020;53500.016975/2019-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Ato;08/05/2020;Ato Nº 2.530/2020;02/09/2020;53500.016975/2019-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84KuKa;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Termo aditivo;03/04/2017;2º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;05/04/2017;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84KuKa;Brasileiro;Termo;02/02/2012;Termo PVSS/SPV Nº 76/2012-ANATEL;06/02/2012;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84KuKa;Brasileiro;Ato;04/01/2012;Ato Nº 66/2012;09/01/2012;53500.026013/2010-14
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Termo;06/04/2006;Termo PVSS/SPV Nº 007/2006-ANATEL;19/04/2006;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Ato;20/12/2005;Ato N° 54.924/2005;23/12/2005;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Ato;30/10/2000;Ato N° 12.517/2000;31/10/2000;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D1;84ºO;-84C;Brasileiro;Termo;27/07/1998;Termo PVSS/SPV N°001/1998-ANATEL;-;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku3030AKa;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70CX;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Ato;16/07/2020;Ato Nº 3.821/2020;20/07/2020;53500.013443/2019-12
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku3030AKa;Brasileiro;Termo aditivo;27/04/2020;3º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;28/04/2020;53500.022042/2016-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70CX;Brasileiro;Termo aditivo;27/04/2020;3º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;28/04/2020;53500.022042/2016-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Termo aditivo;27/04/2020;3º Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;28/04/2020;53500.022042/2016-01
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Termo aditivo;01/10/2019;Aditamento ao Termo PVSS/SPV Nº 002/2003-ANATEL;03/10/2019;53500.032525/2018-77
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Ato;06/06/2019;Ato Nº 3.579/2019;10/06/2019;53500.032525/2018-77
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70CX;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku3030AKa;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Ato;26/04/2018;Ato Nº 3.200/2018;02/05/2018;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70CX;Brasileiro;Termo aditivo;22/06/2012;Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290106201
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku3030AKa;Brasileiro;Termo aditivo;22/06/2012;Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290106201
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Termo aditivo;22/06/2012;Aditamento ao Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290106201
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku3030AKa;Brasileiro;Termo;22/03/2012;Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290051789
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Termo;22/03/2012;Termo PVSS/SPV Nº 156/2012-ANATEL;-;201290051789
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku3030AKa;Brasileiro;Ato;24/02/2012;Ato Nº 1.073/2012;01/03/2012;53500.015405/2015-62
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Termo;08/10/2003;Termo PVSS/SPV Nº 002/2003-ANATEL;13/11/2003;53500.083707/2017-25
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Ato;16/09/2003;Ato Nº 39.094/2003;24/09/2003;53500.005294/2001-81
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70CX;Brasileiro;Termo;27/07/1998;Termo PVSS/SPV N°001/1998-ANATEL;-;53500.006113/2000-52
EMBRATEL TVSAT TELECOMUNICAÇÕES S.A.;STARONE D2;70ºO;-70Ku;Brasileiro;Termo;27/07/1998;Termo PVSS/SPV N°001/1998-ANATEL;-;53500.006113/2000-52
EUTELSAT DO BRASIL LTDA;EUTELSAT 65 West A;65ºO;-65C30BKu30BKa;Brasileiro;Termo aditivo;16/09/2016;Aditamento ao Termo ORLE/SOR N° 001/2013 – ANATEL;26/09/2016;53500.004357/2016-68
EUTELSAT DO BRASIL LTDA;EUTELSAT 65 West A;65ºO;-65C30BKu30BKa;Brasileiro;Termo;05/06/2013;Termo ORLE/SOR N° 001/2013 – ANATEL;06/06/2013;201390098301
EUTELSAT DO BRASIL LTDA;EUTELSAT 65 West A;65ºO;-65C30BKu30BKa;Brasileiro;Ato;19/04/2013;Ato N° 2.642/2013;03/05/2013;53500.026013/2010
EUTELSAT S/A;EUTELSAT 3B;3ºL;3CKu;Estrangeiro;Ato;05/10/2021;Ato Nº 8809/2021;07/10/2021;53500.010749/2014-02
EUTELSAT S/A;EUTELSAT 3B;3ºL;3CKu;Estrangeiro;Ato;01/03/2018;Ato Nº 1375/2018;14/03/2018;53500.010749/2014-02
EUTELSAT S/A;EUTELSAT 3B;3ºL;3CKu;Estrangeiro;Ato;28/04/2017;Retificação Ato Nº 7973/2017;02/05/2017;53500.010749/2014-02
EUTELSAT S/A;EUTELSAT 3B;3ºL;3CKu;Estrangeiro;Ato;12/04/2017;Ato Nº 7977/2017;24/04/2017;53500.010749/2014-02
EUTELSAT S/A;EUTELSAT 3B;3ºL;3CKu;Estrangeiro;Ato;12/04/2017;Ato Nº 7973/2017;24/04/2017;53500.010749/2014-02
